,Unnamed: 0,Unnamed: 0.1,Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m),Symbol,Description,annual_report_URL,PDF_path,Total Revenue 20/21
69,69,92,1990-10-08 00:00:00,ASHTEAD GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,20256.81,AHT,ASHTEAD GROUP PLC,https://www.ashtead-group.com/investors/results-centre/annual-reports/,annual-reports/AHT_annual_report.pdf,805411000.0
70,70,94,2001-10-03 00:00:00,ASOS PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,1040.38,ASC,ASOS PLC,https://www.asosplc.com/investor-relations/results-centre/,annual-reports/ASC_annual_report.pdf,192484301.0
73,73,97,2018-10-03 00:00:00,ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,Consumer Discretionary,Automobiles and Parts,United Kingdom,Europe,MAIN MARKET ,No,557.14,AML,ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,https://www.astonmartinlagonda.com/investors/annual-report,annual-reports/AML_annual_report.pdf,1095300000.0
77,77,107,2016-08-22 00:00:00,AUTINS GROUP PLC,Consumer Discretionary,Automobiles and Parts,United Kingdom,Europe,AIM ,No,7.64,AUTG,AUTINS GROUP PLC,https://autins.com/investors/documents-reports/,annual-reports/AUTG_annual_report.pdf,23431000.0
78,78,108,2015-03-24 00:00:00,AUTO TRADER GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,5933.77,AUTO,AUTO TRADER GROUP PLC,https://plc.autotrader.co.uk/investors/,annual-reports/AUTO_annual_report.pdf,71585000.0
79,79,109,2006-08-08 00:00:00,AVACTA GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,280.79,AVCT,AVACTA GROUP PLC,https://avacta.com/investors/annual-reports/,annual-reports/AVCT_annual_report.pdf,20049000.0
80,80,110,2018-05-10 00:00:00,AVAST PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,4843.97,AVST,AVAST PLC,https://investors.avast.com/investors/results-reports-and-presentations/,annual-reports/AVST_annual_report.pdf,941100000.0
81,81,111,2010-10-06 00:00:00,AVATION PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,49.68,AVAP,AVATION PLC,https://www.avation.net/reports.html,annual-reports/AVAP_annual_report.pdf,117738000.0
82,82,112,1996-12-05 00:00:00,AVEVA GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,7109.38,AVV,AVEVA GROUP PLC,https://investors.aveva.com/annualreport/,annual-reports/AVV_annual_report.pdf,820400000.0
83,83,115,2004-10-14 00:00:00,AVINGTRANS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,147.85,AVG,AVINGTRANS PLC,https://www.annualreports.com/Company/avingtrans-plc,annual-reports/AVG_annual_report.pdf,98516000.0
88,88,121,1981-02-11 00:00:00,BAE SYSTEMS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,24309.47,BA,BAE SYSTEMS PLC,https://investors.baesystems.com/~/media/Files/B/Bae-Systems-Investor-Relations-V3/PDFs/results-and-reports/results/2021/bae-ar-complete-2020.pdf,annual-reports/BA_annual_report.pdf,62286000000.0
91,91,127,1945-06-28 00:00:00,BALFOUR BEATTY PLC,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET ,No,1729.9,BBY,BALFOUR BEATTY PLC,https://www.balfourbeatty.com/investors/results-reports-and-presentations/,annual-reports/BBY_annual_report.pdf,47262000000.0
93,93,132,1953-11-01 00:00:00,BARCLAYS PLC,Financials,Banks,United Kingdom,Europe,MAIN MARKET ,No,25635.57,BARC,BARCLAYS PLC,https://home.barclays/investor-relations/reports-and-events/annual-reports/,annual-reports/BARC_annual_report.pdf,21954000000.0
95,95,134,1968-11-29 00:00:00,BARRATT DEVELOPMENTS PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,5123.04,BDEV,BARRATT DEVELOPMENTS PLC,https://www.barrattdevelopments.co.uk/investors/results-reports-and-presentations/rp-2020,annual-reports/BDEV_annual_report.pdf,4811700000.0
96,96,137,2002-11-12 00:00:00,BEAZLEY PLC,Financials,Insurance,United Kingdom,Europe,MAIN MARKET ,No,3306.09,BEZ,BEAZLEY PLC,https://investor.relations.beazley.com/reports-and-presentations/annual-reports,annual-reports/BEZ_annual_report.pdf,3284600000.0
97,97,138,2017-11-27 00:00:00,BEEKS FINANCIAL CLOUD GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,99.75,BKS,BEEKS FINANCIAL CLOUD GROUP PLC,https://beeksgroup.com/investor-relations/documents/,annual-reports/BKS_annual_report.pdf,11616000.0
98,98,139,2004-10-01 00:00:00,BEGBIES TRAYNOR GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,217.65,BEG,BEGBIES TRAYNOR GROUP PLC,https://www.annualreports.com/Click/31003,annual-reports/BEG_annual_report.pdf,83831000.0
99,99,140,1979-05-17 00:00:00,BELLWAY PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,3020.45,BWY,BELLWAY PLC,https://www.bellwayplc.co.uk/investor-centre/financial-performance/results-reports-and-presentations,annual-reports/BWY_annual_report.pdf,3122500000.0
