,Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
58,2004-06-09 00:00:00,AFERIAN PLC,Telecommunications,Telecommunications,United Kingdom,Europe,AIM ,No,112.4
59,2021-06-01 00:00:00,AFRICAN PIONEER PLC,Basic Materials,Basic Resources,Isle of Man,Europe,MAIN MARKET ,No,4.12
60,2007-07-24 00:00:00,AFRICA OPPORTUNITY FUND LIMITED,,,Cayman Islands,North America,MAIN MARKET ,Yes,-
61,2017-11-09 00:00:00,AFRITIN MINING LIMITED,Basic Materials,Basic Resources,Guernsey,Europe,AIM ,No,55.76
62,2009-02-05 00:00:00,AGRITERRA LD,Consumer Staples ,"Food, Beverage and Tobacco ",Guernsey,Europe,AIM ,No,1.06
63,2011-09-15 00:00:00,AGRONOMICS LIMITED ,Health Care ,Health Care  ,Isle of Man,Europe,AIM ,No,172.52
64,2017-12-11 00:00:00,AIB GROUP PLC,Financials,Banks,Ireland,Europe,MAIN MARKET ,Yes,5027.38
65,2018-01-09 00:00:00,AIQ LIMITED,Financials,Financial Services ,Cayman Islands,North America,MAIN MARKET ,Yes,8.1
66,2004-12-15 00:00:00,AIR CHINA LD,Consumer Discretionary,Travel and Leisure,China,Asia,MAIN MARKET ,Yes,-
67,2005-12-21 00:00:00,AIREA PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,10.96
68,2019-06-28 00:00:00,AIRTEL AFRICA PLC,Telecommunications,Telecommunications,United Kingdom,Europe,MAIN MARKET ,No,5967.94
69,2022-04-07 00:00:00,AJAX RESOURCES PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,1.99
70,2018-12-07 00:00:00,AJ BELL PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,1289.06
71,2005-04-04 00:00:00,ALBA MINERAL RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,11.21
72,1999-01-27 00:00:00,ALBION DEVELOPMENT VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,111.83
73,2007-04-05 00:00:00,ALBION ENTERPRISE VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,112.55
74,2001-01-17 00:00:00,ALBION TECHNOLOGY & GENERAL VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,122.23
75,1996-04-04 00:00:00,ALBION VENTURE CAPITAL TST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,59.69
