symbol,name
RMDL-LN,RM Secured Direct Lending Plc
RMG-LN,Royal Mail Plc
RMM-LN,Rambler Metals & Mining
RMMC-LN,River and Mercantile UK Micro Cap Investment Company Limited
RMP-LN,Red Emperor Resources NL
RMS-LN,Remote Monitored Systems Plc
RMV-LN,Rightmove Plc
RNK-LN,Rank Group plc
RNO-LN,Renold plc
RNWH-LN,Renew Holdings Plc
ROCK-LN,Rockfire Resources Plc
ROL-LN,Rotala
ROO-LN,Deliveroo Plc - Class A
ROQ-LN,Roquefort Investmnts Plc
ROR-LN,Rotork plc
RPS-LN,RPS Group plc
RQIH-LN,Randall & Quilter Investment Holdings Ltd
RR.-LN,Rolls-Royce Holdings Plc
RRR-LN,Red Rock Resources
RSA-LN,RSA Insurance Group Plc
RSE-LN,Riverstone Energy Limited
RSG-LN,Resolute Mining Ltd.
RST-LN,Restore Plc
RSW-LN,Renishaw plc
RTC-LN,RTC Group Plc
RTN-LN,Restaurant Group plc
RTO-LN,Rentokil Initial
RUA-LN,RUA Life Sciences Plc
RUR-LN,Rurelec
RWA-LN,Robert Walters plc
RWI-LN,Renewi Plc
RWS-LN,RWS Holdings plc
S32-LN,South32 Limited
SAA-LN,M&C Saatchi
SAE-LN,SIMEC Atlantis Energy Limited
SAFE-LN,Safestore Hldgs Plc
SAG-LN,Science Group Plc
SAGA-LN,Saga Plc
SAIN-LN,Scottish American Investment Co plc
SAL-LN,Spaceandpeople
SAR-LN,Sareum Holdings Plc
SAV-LN,Savannah Resources Plc
SAVE-LN,Savannah Energy Plc
SBI-LN,SourceBio International Plc
SBIZ-LN,SimplyBiz Group Plc
SBO-LN,Schroder British Opportunities Trust Plc
SBRE-LN,Sabre Insurance Group Plc
SBRY-LN,Sainsbury (J) plc
SBSI-LN,Schroder BSC Social Impact Trust Plc
SBTX-LN,SkinBioTherapeutics Plc
SCE-LN,Surface Transforms
SCF-LN,Schroder Income Growth Fund plc
SCGL-LN,Sealand Capital Galaxy Limited
SCHO-LN,Scholium Group Plc
SCIN-LN,Scottish Investment Trust plc
SCIR-LN,Scirocco Energy Plc
SCLP-LN,Scancell Hldgs Plc
SCP-LN,Schroder UK Mid Cap Fund Plc
SCPA-LN,Scapa Group plc
SCRF-LN,SME Credit Realisation Fund Limited
SCS-LN,ScS Group Plc
SCT-LN,Softcat Plc
SDG-LN,Sanderson Design Group Plc
SDI-LN,SDI Group Plc.
SDP-LN,Schroder Asia Pacific Fund
SDR-LN,Schroders
SDRC-LN,Schroders (Non Voting)
SDRY-LN,Superdry Plc
SDV-LN,Chelverton UK Dividend Trust Plc
SDX-LN,SDX Energy Plc
SDY-LN,Speedy Hire Plc
SEC-LN,Strategic Equity Capital
SEE-LN,Seeing Machines
SEEN-LN,SEEEN Plc
SEFA-LN,Shefa Gems Ltd
SEIT-LN,SDCL Energy Efficiency Income Trust Plc
SENS-LN,Sensyne Health Plc
SENX-LN,Serinus Energy Plc
SEPL-LN,Seplat Energy Plc
SEQI-LN,Sequoia Economic Infrastructure Income Fund Limited
SERE-LN,Schroder European Real Estate Investment Trust PLC
SEY-LN,Sterling Energy plc
SFE-LN,Safestyle UK Plc
SFOR-LN,S4 Capital Plc
SFR-LN,Severfield Plc
SGC-LN,Stagecoach Group plc
SGE-LN,Sage Group plc
SGEM-LN,ScotGems Plc
SGI-LN,Stanley Gibbons Group Plc
SGM-LN,Sigma Capital Group Plc
SGRO-LN,Segro Plc
SGZ-LN,Scotgold Resources Ltd.
SHB-LN,Shaftesbury plc
SHED-LN,Urban Logistics REIT Plc
SHG-LN,Shanta Gold
SHI-LN,SIG plc
SHOE-LN,Shoe Zone Plc
SHRS-LN,Shires Income plc
SIG-LN,Signature Aviation Plc
SIGB-LN,Sherborne Investors (Guernsey) B Limited
SIGC-LN,Sherborne Investors (Guernsey) C Limited
SIGT-LN,Seneca Global Income & Growth Trust Plc
SIM-LN,Simigon Ltd
SIR-LN,Secure Income REIT Plc
SIS-LN,Science in Sport Plc
SIXH-LN,600 Group plc
SJG-LN,Schroder Japan Growth Fund plc
SJH-LN,St. James House Plc
SKG-LN,Smurfit Kappa Group Plc
SKRL-LN,Skrill Group Plc
SLA-LN,Standard Life Aberdeen Plc
SLE-LN,San Leon Energy Plc
SLI-LN,Standard Life Invest Prop Inc Trust
SLN-LN,Silence Therapeutics Plc
SLNG-LN,Slingsby (H.C.)
SLP-LN,Sylvania Platinum Limited
SLPE-LN,Standard Life Private Equity Trust PLC
SLS-LN,Standard Life UK Smaller Companies Trust Plc
SMD-LN,Spectral MD Holdings Ltd..
SMDS-LN,Smith (DS) plc
SMIF-LN,TwentyFour Select Monthly Income Fund Limited
SMIN-LN,Smiths Group plc
SMJ-LN,Smart (J.) & Co Contractors plc
SML-LN,Strategic Minerals Plc
SMP-LN,St. Modwen Properties plc
SMRT-LN,Smartspace Software Plc
SMS-LN,Smart Metering Systems Plc
SMT-LN,Scottish Mortgage Investment Trust plc
SMWH-LN,WH Smith Plc
SN.-LN,Smith & Nephew plc
SNG-LN,Synairgen
SNN-LN,Sanne Group Plc
SNR-LN,Senior plc
SNT-LN,Sabien Technology Group Plc
SNWS-LN,Smiths News Plc
SNX-LN,Synectics Plc
SO4-LN,Salt Lake Potash Limited
SOHO-LN,Triple Point Social Housing REIT plc
SOI-LN,Schroder Oriental Income Fund
SOLG-LN,SolGold Plc
SOLI-LN,Solid State
SOM-LN,Somero Enterprises Inc
SONC-LN,Hipgnosis Songs Fund Limited - Class C
SOP-LN,Kanabo Group Plc
SOS-LN,Sosandar Plc
SOU-LN,Sound Energy Plc
SPA-LN,1Spatial Plc
SPC-LN,U.K. SPAC Plc
SPE-LN,Sopheon plc
SPEC-LN,Inspecs Group Plc
SPI-LN,Spire Healthcare Group Plc
SPO-LN,Sportech plc
SPPC-LN,St Peter Port Capital Ltd
SPR-LN,Springfield Properties Plc
SPSC-LN,Spectra Systems Corporation - Reg S
SPSY-LN,Spectra Systems Corporation
SPT-LN,Spirent Communications Plc
SPX-LN,Spirax-Sarco Engineering plc
SQZ-LN,Serica Energy PLC
SRB-LN,Serabi Gold Plc
SRE-LN,Sirius Real Estate Limited
SREI-LN,Schroder Real Estate Investment Trust Limited
SRES-LN,Sunrise Resources Plc
SRP-LN,Serco Group plc
SRT-LN,SRT Marine Systems Plc
SSE-LN,SSE Plc.
SSIF-LN,Secured Income Fund Plc
SSON-LN,Smithson Investment Trust plc
SSPG-LN,SSP Group Plc
SST-LN,Scottish Oriental Smaller Companies
SSTY-LN,Safestay Plc
STA-LN,Star Phoenix Group Ltd
STAF-LN,Staffline Group Plc
STAN-LN,Standard Chartered plc
STAR-LN,Starcom Plc
STB-LN,Secure Trust Bank Plc
STCK-LN,Stock Spirits Group Plc
STCM-LN,Steppe Cement
STEM-LN,Sthree
STJ-LN,St. James`s Place Plc
STM-LN,STM Group Plc
STOB-LN,Esken Limited
STP-LN,Stenprop Limited
STS-LN,Securities Trust Of Scotland (New) (Redeemable)
STU-LN,Studio Retail Group Plc
STVG-LN,STV Group Plc
STX-LN,Shield Therapeutics plc
SUH-LN,Sutton Harbour Group Plc
SUMO-LN,Sumo Group Plc
SUN-LN,Surgical Innovations Group
SUP-LN,Supreme Plc
SUPP-LN,Schroder UK Public Private Trust Plc
SUPR-LN,Supermarket Income REIT plc
SUR-LN,Sureserve Group Plc
SURE-LN,Sure Ventures Plc
SUS-LN,S & U plc
SVCT-LN,Seneca Growth Capital VCT Plc - Class B
SVE-LN,Starvest Plc
SVM-LN,SVM UK Emerging Fund Plc
SVS-LN,Savills plc
SVT-LN,Severn Trent plc
SWC-LN,Summerway Capital Plc
SWEF-LN,Starwood European Real Estate Finance Limited
SWG-LN,Shearwater Group Plc
SXS-LN,Spectris
SYM-LN,Symphony Environmental Technologies Plc
SYME-LN,Supply@ME Capital Plc.
SYNC-LN,Syncona Limited
SYNT-LN,Synthomer plc
SYS-LN,SysGroup Plc
SYS1-LN,System1 Group Plc
TALK-LN,Talk Talk Telecom Group Plc
TAM-LN,Tatton Asset Management Plc
TAN-LN,Tanfield Group plc
TAST-LN,Tasty
TATE-LN,Tate & Lyle plc
TAVI-LN,Tavistock Investments Plc
TBCG-LN,TBC Bank Group Plc.
TBLD-LN,tinyBuild Inc
TCAP-LN,TP ICAP Group plc
TCM-LN,Telit Communications Plc
TCN-LN,Tricorn Group
TEAM-LN,Team Plc
TED-LN,Ted Baker
TEEC-LN,Triple Point Energy Efficiency Infrastructure Company Plc
TEG-LN,Ten Entertainment Group Plc
TEK-LN,Tekcapital Plc
TEM-LN,Templeton Emerging Markets Investment Trust Plc
TENG-LN,Ten Lifestyle Group Plc
TEP-LN,Telecom Plus plc
TERN-LN,Tern Plc
TET-LN,Treatt plc
TFG-LN,Tetragon Financial Group Limited
TFIF-LN,TwentyFour Income Fund Ltd
TFW-LN,Thorpe (FW)
TGA-LN,Thungela Resources Limited
TGL-LN,Transglobe Energy Corp.
TGP-LN,Tekmar Group Plc
TGR-LN,Tirupati Graphite Plc
THAL-LN,Thalassa Holdings Ltd
THG-LN,THG Plc
THR-LN,Thor Mining
THRG-LN,BlackRock Throgmorton Trust Plc
THRL-LN,Target Healthcare REIT plc
THS-LN,Tharisa plc
TI1-LN,Trian Investors 1 Limited
TIDE-LN,Crimson Tide Plc
TIFS-LN,TI Fluid Systems Plc
TIGT-LN,Troy Income & Growth Trust Plc
TILS-LN,Tiziana Life Sciences Plc
TIM-LN,Timico Technology Group Plc
TIME-LN,Time Finance Plc
TIR-LN,Tiger Royalties and Investments Plc
TKO-LN,Taseko Mines Ltd.
TLOU-LN,Tlou Energy Limited
TLW-LN,Tullow Oil Plc
TLY-LN,Totally Plc
TM17-LN,Team17 Group Plc
TMG-LN,Mission Group Plc
TMI-LN,Taylor Maritime Investments Limited
TMO-LN,Time Out Group Plc
TMPL-LN,Temple Bar Investment Trust plc
TND-LN,Tandem Group plc
TOM-LN,Tomco Energy Plc
TON-LN,Titon Holdings plc
TOOP-LN,Toople Plc
TORG-LN,Chenavari Toro Income Fund Limited
TOT-LN,Total Produce Plc
TOWN-LN,Town Centre Securities plc
TPFG-LN,Property Franchise Group Plc
TPG-LN,TP Group Plc
TPK-LN,Travis Perkins plc
TPOA-LN,Triple Point VCT 2011 Plc - Class A
TPOB-LN,Triple Point VCT 2011 Plc - Class B
TPT-LN,Topps Tiles
TPVC-LN,Triple Point Income VCT plc. - Class C
TPVD-LN,Triple Point Income VCT plc. - Class D
TPVE-LN,Triple Point Income VCT plc. - Class E
TPVN-LN,Triple Point VCT 2011 Plc (Venture Shares)
TPX-LN,Panoply Holdings Plc
TRAF-LN,Trafalgar Property Group Plc
TRAK-LN,TrakM8 Hldgs
TRB-LN,Tribal Group
TRCS-LN,Tracsis Plc
TRD-LN,Triad Group plc
TREE-LN,Cambium Global Timberland Ltd
TRG-LN,TR European Growth Trust plc
TRI-LN,Trifast
TRIG-LN,The Renewables Infrastructure Group Limited
TRIN-LN,Trinity Exploration & Production Plc
TRLS-LN,Trellus Health Plc
TRMR-LN,Tremor International Ltd
TRN-LN,Trainline Plc
TRP-LN,Tower Resources
TRR-LN,Trident Royalties Plc
TRST-LN,Trustpilot Group plc
TRT-LN,Transense Technologies plc
TRU-LN,Trufin Plc
TRX-LN,Tissue Regenix Group Plc
TRY-LN,TR Property Investment Trust plc
TSCO-LN,Tesco plc
TSG-LN,Trans-Siberian Gold
TSI-LN,Two Shields Investments Plc
TSL-LN,ThinkSmart Ltd
TST-LN,Touchstar Plc
TSTL-LN,Tristel
TSTR-LN,Tri-Star Resources plc
TTG-LN,TT Electronics plc
TUI-LN,Tui AG - Registered Shares
TUNE-LN,Focusrite Plc
TUNG-LN,Tungsten Corporation Plc
TW.-LN,Taylor Wimpey
TWD-LN,Trackwise Designs Plc
TXP-LN,Touchstone Exploration Inc.
TYM-LN,Tertiary Minerals
TYMN-LN,Tyman plc
UAI-LN,U and I Group PLC.
UANC-LN,Urban&Civic Plc
UAV-LN,Unicorn Aim Vct plc - New
UCG-LN,United Carpets Group
UDG-LN,UDG Healthcare Plc
UEM-LN,Utilico Emerging Markets Trust Plc
UEX-LN,Urban Exposure Plc
UFO-LN,Alien Metals Limited
UHS-LN,Umuthi Healthcare Solutions Plc
UJO-LN,Union Jack Oil Plc
UKCM-LN,UK Commercial Property REIT Limited
UKMC-LN,UK Mortgages Limited - Class C
UKML-LN,UK Mortgages Limited
UKOG-LN,UK Oil & Gas Plc
UKR-LN,Ukrproduct Group
UKW-LN,Greencoat UK Wind Plc
ULE-LN,Ultra Electronics Holdings
ULS-LN,ULS Technology Plc
ULVR-LN,Unilever plc
UNG-LN,Universe Group plc
UOG-LN,United Oil & Gas Plc
UPGS-LN,UP Global Sourcing Holdings Plc
UPL-LN,Upland Resources Ltd.
UPR-LN,Uniphar Plc
URU-LN,URU Metals Limited
USA-LN,Baillie Gifford US Growth Trust Plc.
USF-LN,US Solar Fund Plc
UTG-LN,Unite Group plc.
UTL-LN,UIL Limited
UU.-LN,United Utilities Group PLC - Class A
UVEL-LN,Univision Engineering
VAL-LN,Valirx Plc
VANL-LN,Van Elle Holdings Plc
VARE-LN,Various Eateries Plc
VAST-LN,Vast Resources Plc
VCAP-LN,Vector Capital Plc
VCBC-LN,Vertu Capital Ltd
VCP-LN,Victoria Plc.
VCT-LN,Victrex plc
VDTK-LN,Verditek Plc
VEC-LN,Vectura Group Plc
VEIL-LN,Vietnam Enterprise Investments - Redeemable Shares
VEL-LN,Velocity Composites Plc
VELA-LN,Vela Technologies Plc
VEN-LN,Ventus Vct
VEN2-LN,Ventus 2 Vct
VENC-LN,Ventus Vct - Class C
VEND-LN,Ventus Vct - Class D
VGAS-LN,Volga Gas Plc
VIC-LN,Victorian Plumbing Group Plc
VIN-LN,Value and Indexed Property Income Trust Plc
VINO-LN,Virgin Wines UK Plc
VIP-LN,Value and Indexed Property Income Trust Plc
VLE-LN,Volvere
VLG-LN,Venture Life Group Plc
VLS-LN,Velocys Plc
VLU-LN,Valeura Energy Inc
VLX-LN,Volex Plc
VMUK-LN,Virgin Money UK Plc.
VNC-LN,Ventus 2 Vct - Class C
VND-LN,Ventus 2 Vct - Class D
VNET-LN,Vianet Group Plc.
VNH-LN,Vietnam Hldg Ltd
VOD-LN,Vodafone Group plc
VOF-LN,VinaCapital Vietnam Opportunity Fund Limited
VOG-LN,Victoria Oil & Gas
VP.-LN,VP
VRCI-LN,Verici Dx Plc
VRE-LN,VR Education Holdings Plc
VRS-LN,Versarien Plc
VSL-LN,VPC Specialty Lending Investments Plc
VSVS-LN,Vesuvius Plc
VTA-LN,Volta Finance Limited
VTC-LN,Vitec Group plc
VTU-LN,Vertu Motors Plc
VTY-LN,Vistry Group Plc
VVO-LN,Vivo Energy plc
W7L-LN,Warpaint London Plc
WAND-LN,Wandisco Plc
WATR-LN,Water Intelligence Plc
WCAT-LN,Wildcat Petroleum Plc
WCH-LN,Wilmcote Holdings Plc
WCW-LN,Walker Crips Group Plc
WEB-LN,Webis Holdings Plc
WEIR-LN,Weir Group plc
WEN-LN,Wentworth Resources plc
WEY-LN,Wey Education Plc
WG.-LN,Wood Group (John) Plc
WGB-LN,Walker Greenbank plc
WHI-LN,W.H.Ireland Group
WHR-LN,Warehouse REIT Plc
WIL-LN,Wilmington Plc
WIN-LN,Wincanton
WINE-LN,Naked Wines Plc
WINK-LN,Winkworth plc
WINV-LN,Worsley Investors Limited
WIX-LN,Wickes Group Plc
WIZZ-LN,Wizz Air Holdings Plc
WJA-LN,Wameja Limited
WJG-LN,Watkin Jones Plc
WKOF-LN,Weiss Korea Opportunity Fund Ltd
WKP-LN,Workspace Group
WMH-LN,William Hill
WOSG-LN,Watches Of Switzerland Group Plc
WPHO-LN,Windar Photonics Plc
WPM-LN,Wheaton Precious Metals Corp
WPP-LN,WPP Plc.
WRES-LN,W Resources Plc
WRKS-LN,TheWorks.co.uk Plc
WSBN-LN,Wishbone Gold Plc
WSE-LN,Work Service SA
WSG-LN,Westminster Group Plc
WSL-LN,Worldsec
WSP-LN,Wynnstay Properties
WTAN-LN,Witan Investment Trust plc
WTB-LN,Whitbread plc
WTE-LN,Westmount Energy
WTG-LN,Watchstone Group Plc
WWH-LN,Worldwide Healthcare Trust Plc
WYN-LN,Wynnstay Group
XAR-LN,Xaar
XLM-LN,XLMedia Plc
XPD-LN,Xpediator Plc
XPP-LN,XP Power Ltd
XPS-LN,XPS Pensions Group Plc
XSG-LN,Xeros Technology Group Plc
XTR-LN,Xtract Resources Plc
YCA-LN,Yellow Cake Plc
YGEN-LN,Yourgene Health Plc
YNGA-LN,Young & Co`s Brewery Plc - Class A
YNGN-LN,Young & Co`s Brewery Plc
YOU-LN,Yougov
YU.-LN,Yu Group PLC
ZAIM-LN,Zaim Credit Systems Plc
ZAM-LN,Zambeef Products
ZEG-LN,Zegona Communications Plc
ZEN-LN,Zenith Energy Ltd
ZHEH-LN,Zhejiang Expressway Co - Class H
ZIN-LN,Zinc Media Group Plc
ZIOC-LN,Zanaga Iron Ore Company Limited
ZNWD-LN,Zinnwald Lithium Plc
ZOL-LN,Zoltav Resources Inc
ZOO-LN,Zoo Digital Group
ZPHR-LN,Zephyr Energy Plc
ZTF-LN,Zotefoams
ZYT-LN,Zytronic plc
