symbol,name
BNZL-LN,Bunzl plc
BOCH-LN,Bank of Cyprus Holdings Plc
BOD-LN,Botswana Diamonds plc
BOIL-LN,Baron Oil Plc
BOKU-LN,Boku Inc.
BONH-LN,Bonhill Group Plc
BOO-LN,Boohoo Group Plc - Ordinary Share
BOOM-LN,Audioboom Group Plc
BOOT-LN,Boot (Henry)
BOR-LN,Borders & Southern Petroleum.
BOTB-LN,Best of the Best Plc
BOWL-LN,Hollywood Bowl Group Plc
BOY-LN,Bodycote Plc
BP.-LN,BP plc
BPC-LN,Bahamas Petroleum Company plc
BPET-LN,BMO Private Equity Trust Plc
BPM-LN,B.P.Marsh & Partners
BRBY-LN,Burberry Group
BRCK-LN,Brickability Group Plc
BRD-LN,Bluerock Diamonds Plc
BREE-LN,Breedon Group Plc
BREI-LN,BMO Real Estate Investments Limited
BRES-LN,Blencowe Resources Plc
BRFI-LN,Blackrock Frontiers Investment Trust Plc
BRGE-LN,Blackrock Greater Europe Investmnet Trust Plc
BRH-LN,Braveheart Investment Group
BRIG-LN,BlackRock Income and Growth Investment Trust Plc
BRK-LN,Brooks Macdonald Group
BRLA-LN,Blackrock Latin American Investment Trust Plc
BRNA-LN,BlackRock North American Income Trust plc
BRSC-LN,Blackrock Smaller Companies Trust Plc
BRSD-LN,BrandShield Systems Plc
BRW-LN,Brewin Dolphin Holdings
BRWM-LN,Blackrock World Mining Trust Plc
BSC-LN,British Smaller Companies VCT 2 Plc
BSE-LN,Base Resources Limited
BSFA-LN,BSF Enterprise Plc
BSIF-LN,Bluefield Solar Income Fund Ltd.
BSRT-LN,Baker Steel Resources Trust Limited
BSV-LN,British Smaller Companies Venture Capital Trust plc
BT.A-LN,BT Group
BUR-LN,Burford Capital Limited
BUT-LN,Brunner Investment Trust plc
BVC-LN,BATM Advanced Communications Limited
BVIC-LN,Britvic
BVT-LN,Baronsmead Venture Trust Plc
BVXP-LN,Bioventix Plc
BWNG-LN,Brown (N.) Group plc
BWO-LN,Barloworld Ltd
BWY-LN,Bellway plc
BYG-LN,Big Yellow Group plc
BYIT-LN,Bytes Technology Group Plc
BYOT-LN,Byotrol
BZT-LN,Bezant Resources Plc
C4XD-LN,C4X Discovery Holdings plc
CAD-LN,Cadogan Petroleum
CAL-LN,Capital & Regional plc
CALL-LN,Cloudcall Group Plc
CAM-LN,Camellia
CAMB-LN,Cambria Automobiles Plc
CAML-LN,Central Asia Metals Plc
CAPC-LN,Capital & Counties Properties Plc
CAPD-LN,Capital Limited
CAR-LN,Carclo plc
CARD-LN,Card Factory Plc
CARR-LN,Carrs Group Plc
CASP-LN,Caspian Sunrise Plc
CAU-LN,Centaur Media
CAY-LN,Charles Stanley Group plc
CBA-LN,Ceiba Investments Limited
CBG-LN,Close Brothers Group plc
CBOX-LN,Cake Box Holdings Plc
CBP-LN,Curtis Banks Group Plc
CBX-LN,Cellular Goods Plc
CCAP-LN,Conduity Capital Plc
CCC-LN,Computacenter
CCH-LN,Coca Cola HBC AG
CCJI-LN,CC Japan Income & Growth Trust plc
CCJS-LN,CC Japan Income & Growth Trust plc - Subscription Shares
CCL-LN,Carnival plc
CCP-LN,Celtic plc
CCPG-LN,CVC Credit Partners European Opportunities Limited
CCR-LN,C&C Group
CCRD-LN,Cordiant Digital Infrastructure Limited - Class C
CCS-LN,Crossword Cybersecurity Plc
CCT-LN,Character Group plc
CCZ-LN,Castillo Copper Limited
CDFF-LN,Cardiff Property
CDL-LN,Cloudbreak Discovery Plc
CDM-LN,Codemasters Group Holdings Plc
CEG-LN,Challenger Energy Group Plc
CEPS-LN,Ceps Plc
CER-LN,Cerillion PLC
CEY-LN,Centamin Plc
CFX-LN,Colefax Group plc
CFYN-LN,Caffyns Plc
CGEO-LN,Georgia Capital Plc
CGI-LN,Canadian General Investments Ltd.
CGNR-LN,Conroy Gold and Natural Resources plc
CGO-LN,Contango Holdings Plc
CGS-LN,Castings plc
CGT-LN,Capital Gearing Trust
CGW-LN,Chelverton Growth Trust
CHAR-LN,Chariot Oil & Gas Ltd
CHG-LN,Chemring Group plc
CHH-LN,Churchill China plc
CHRT-LN,Cohort
CHRY-LN,Chrysalis Investments Limited
CIC-LN,Conygar Investment Company
CIHL-LN,Caribbean Investment Holdings Limited
CIN-LN,City of London Group Plc
CINE-LN,Cineworld Group
CIP-LN,CIP Merchant Capital Limited
CIR-LN,Circassia Group Plc
CIZ-LN,Cizzle Biotechnology Holdings Plc.
CKN-LN,Clarkson
CKT-LN,Checkit Plc
CLC-LN,Calculus VCT Plc
CLCO-LN,CloudCoCo Group Plc
CLDN-LN,Caledonia Investments plc
CLG-LN,Clipper Logistics Plc
CLI-LN,CLS Holdings
CLIG-LN,City of London Investment Group
CLIN-LN,Clinigen Group Plc
CLON-LN,Clontarf Energy Plc
CLP-LN,Clear Leisure Plc
CLSN-LN,Calisen Plc
CLX-LN,Calnex Solutions Plc
CMB-LN,Cambria Africa Plc
CMCL-LN,Caledonia Mining Corporation Plc
CMCX-LN,CMC Markets Plc
CMET-LN,Capital Metals Plc
CMH-LN,Chamberlin Plc
CMHY-LN,City Merchants High Yield Trust Limited
CML-LN,CML Microsystems plc
